frame_index,angle_deg
0,158.7230
1,155.8122
2,155.7020
3,154.6381
4,154.3846
5,153.1135
6,151.4279
7,148.4476
8,147.9496
9,147.1666
10,145.6348
11,143.6138
12,146.8073
13,141.2182
14,136.4727
15,134.8445
16,134.6577
17,130.7314
18,124.7268
19,119.5169
20,116.9117
21,117.5337
22,113.1230
23,112.2990
24,111.0787
25,106.8855
26,100.8983
27,98.2188
28,95.0985
29,92.1405
30,89.0984
31,87.6629
32,88.5339
33,87.2391
34,85.1633
35,83.3309
36,81.9290
37,81.5577
38,79.5450
39,78.3761
40,77.7032
41,76.3456
42,74.2814
43,73.1654
44,73.7619
45,72.9552
46,68.8696
47,66.8447
48,69.5314
49,68.5944
50,67.8342
51,67.5458
52,67.0613
53,66.9872
54,66.1114
55,64.5605
56,65.4008
57,65.0244
58,64.9458
59,65.2008
60,63.9499
61,62.8066
62,62.5595
63,62.5067
64,62.5461
65,62.1556
66,61.8135
67,61.1752
68,60.3256
69,60.5160
70,59.8165
71,59.2576
72,58.3756
73,57.5886
74,56.9962
75,56.6796
76,56.5245
77,55.7974
78,54.7065
79,54.5772
80,50.9367
81,50.1027
82,52.4991
83,52.1901
84,49.0588
85,48.4221
86,48.2703
87,51.7833
88,50.2053
89,51.6482
90,57.7433
91,61.2632
92,64.6940
93,67.0237
94,70.0290
95,72.4935
96,75.3052
97,78.1418
98,80.2564
99,82.3325
100,85.9810
101,87.5025
102,91.9281
103,94.3416
104,95.7362
105,97.0656
106,98.6070
107,102.3908
108,104.2768
109,107.5897
110,112.6225
111,114.3943
112,116.5499
113,118.9958
114,121.3526
115,123.9449
116,126.6630
117,124.9890
118,126.4904
119,128.2422
120,131.1209
121,132.4102
122,133.8143
123,134.7588
124,135.5331
125,136.1093
126,137.1153
127,138.4151
128,140.4418
129,145.0897
130,143.3111
131,142.6223
132,143.9503
133,144.3649
134,144.3163
135,145.7201
136,146.2277
137,147.0275
138,146.6503
139,147.8524
140,150.0526
141,150.9223
142,151.0132
143,150.5051
144,150.6857
145,151.4454
146,153.3125
147,154.8774
148,155.2641
149,155.1279
150,155.8702
151,155.5570
152,156.8139
153,158.0650
154,159.0681
155,154.1184
156,154.4092
157,154.7849
158,155.4177
159,155.9416
160,156.9786
161,157.5474
162,158.0898
163,158.5719
164,158.6094
165,158.1698
166,157.2645
167,156.8230
168,157.1097
169,157.3096
170,156.5733
171,157.1878
172,157.9996
173,157.4704
174,157.7579
175,156.8768
176,154.5766
177,153.5788
178,152.1783
179,149.2675
180,147.6881
181,145.2056
182,142.4796
183,141.7260
184,139.2085
185,138.2970
186,139.5051
187,135.3674
188,133.6513
189,131.5532
190,127.5268
191,124.6676
192,121.9759
193,118.7258
194,114.9474
195,113.5512
196,111.2435
